"","res_id","date_gen","date_checkin","nights","guests","ori_id","agency_id","mean_price_per_night","status"
"6123",11961510,2021-10-21,2021-10-25,2,1,13,"Agencia_2",74.975,"Cancelled"
"6124",11962613,2021-10-21,2021-10-27,1,1,13,"Agencia_2",76.16,"Cancelled"
"6125",11962988,2021-10-21,2021-10-25,4,1,13,"Agencia_2",84.145,"Cancelled"
"6126",11964460,2021-10-21,2021-10-21,1,1,13,"Agencia_2",57.3,"Cancelled"
"6127",11964490,2021-10-21,2021-10-21,1,1,13,"Agencia_2",52.86,"Cancelled"
"6128",11965612,2021-10-21,2021-10-26,1,1,13,"Agencia_2",71.52,"Cancelled"
"6129",11969620,2021-10-22,2021-10-26,3,1,13,"Agencia_2",39.2833333333333,"Cancelled"
"6130",11970451,2021-10-22,2021-10-28,1,1,13,"Agencia_2",34.16,"Cancelled"
"6131",11970712,2021-10-22,2021-10-25,1,1,13,"Agencia_2",70.75,"Cancelled"
"6132",11971344,2021-10-22,2021-11-09,1,1,13,"Agencia_2",45.38,"Cancelled"
"6133",11941096,2021-10-19,2021-10-28,1,1,7,"Agencia_2",34.16,"Confirmed"
"6134",11350968,2021-08-05,2021-10-22,2,2,9,"Agencia_2",39.88,"Cancelled"
"6135",11971827,2021-10-22,2021-10-26,1,1,13,"Agencia_2",34.16,"Cancelled"
"6136",11972037,2021-10-22,2021-10-26,1,1,13,"Agencia_2",71.52,"Cancelled"
"6137",11974149,2021-10-22,2021-10-25,1,1,13,"Agencia_2",45.38,"Cancelled"
"6138",11974151,2021-10-22,2021-10-26,1,1,13,"Agencia_2",66,"Cancelled"
"6139",11974263,2021-10-22,2021-10-25,3,1,13,"Agencia_2",84.05,"Cancelled"
"6140",11975502,2021-10-22,2021-10-28,1,1,13,"Agencia_2",34.16,"Cancelled"
"6141",11976097,2021-10-22,2021-10-28,1,1,13,"Agencia_2",34.16,"Cancelled"
"6142",11976590,2021-10-22,2021-10-27,1,1,13,"Agencia_2",70.75,"Cancelled"
"6143",11976610,2021-10-22,2021-10-27,1,1,13,"Agencia_2",70.75,"Cancelled"
"6144",11979449,2021-10-23,2021-10-28,1,1,13,"Agencia_2",34.16,"Cancelled"
"6145",11979754,2021-10-23,2021-10-25,3,1,13,"Agencia_2",39.2833333333333,"Cancelled"
"6146",11979930,2021-10-23,2021-10-26,3,1,13,"Agencia_2",39.2833333333333,"Cancelled"
"6147",11988594,2021-10-24,2021-10-25,4,1,13,"Agencia_2",39.93,"Confirmed"
"6148",11989230,2021-10-25,2021-10-28,1,1,13,"Agencia_2",0,"Cancelled"
"6149",11991469,2021-10-25,2021-10-27,2,1,13,"Agencia_2",38,"Cancelled"
"6150",11992057,2021-10-25,2021-10-27,2,1,13,"Agencia_2",38,"Cancelled"
"6151",11992054,2021-10-25,2021-10-27,2,1,13,"Agencia_2",38,"Cancelled"
"6152",11992234,2021-10-25,2021-10-25,4,1,13,"Agencia_2",39.93,"Cancelled"
"6153",11992503,2021-10-25,2021-10-28,1,1,13,"Agencia_2",65.8,"Cancelled"
"6154",11992495,2021-10-25,2021-10-27,2,1,13,"Agencia_2",38,"Cancelled"
"6155",11992944,2021-10-25,2021-10-28,1,1,13,"Agencia_2",65.8,"Cancelled"
"6156",11992942,2021-10-25,2021-10-27,3,1,13,"Agencia_2",39.2833333333333,"Cancelled"
"6157",11993147,2021-10-25,2021-10-25,4,1,13,"Agencia_2",98.7175,"Cancelled"
"6158",11993341,2021-10-25,2021-10-28,1,1,13,"Agencia_2",34.16,"Cancelled"
"6159",11993674,2021-10-25,2021-10-26,3,1,13,"Agencia_2",39.2833333333333,"Cancelled"
"6160",11993724,2021-10-25,2021-10-29,1,1,13,"Agencia_2",34.16,"Confirmed"
"6161",11994007,2021-10-25,2021-11-03,1,1,13,"Agencia_2",85.39,"Cancelled"
"6162",12000496,2021-10-26,2021-10-28,1,1,13,"Agencia_2",34.16,"Cancelled"
"6163",12001544,2021-10-26,2021-11-05,1,2,13,"Agencia_2",58.19,"Cancelled"
"6164",12002208,2021-10-26,2021-11-03,1,1,13,"Agencia_2",52.86,"Cancelled"
"6165",12002423,2021-10-26,2021-11-15,4,1,13,"Agencia_2",47.39,"Cancelled"
"6166",12002881,2021-10-26,2021-11-03,1,1,13,"Agencia_2",52.86,"Cancelled"
"6167",12005597,2021-10-26,2021-10-28,1,1,13,"Agencia_2",34.16,"Cancelled"
"6168",12005905,2021-10-26,2021-10-29,1,1,13,"Agencia_2",84.05,"Cancelled"
"6169",12006476,2021-10-26,2021-10-27,1,1,13,"Agencia_2",53.08,"Cancelled"
"6170",12007355,2021-10-26,2021-10-27,2,1,13,"Agencia_2",66.8,"Cancelled"
"6171",12007354,2021-10-26,2021-10-27,2,1,13,"Agencia_2",66.8,"Cancelled"
"6172",12010936,2021-10-27,2021-10-27,2,1,13,"Agencia_2",38,"Cancelled"
"6173",12010974,2021-10-27,2021-11-03,3,1,13,"Agencia_2",39.2833333333333,"Cancelled"
"6174",12012686,2021-10-27,2021-10-27,1,1,13,"Agencia_2",65.04,"Cancelled"
"6175",12012675,2021-10-27,2021-11-11,1,1,13,"Agencia_2",45.38,"Cancelled"
"6176",12012916,2021-10-27,2021-11-03,2,1,13,"Agencia_2",38,"Cancelled"
"6177",12013045,2021-10-27,2021-11-10,2,1,13,"Agencia_2",58.425,"Cancelled"
"6178",12013069,2021-10-27,2021-11-10,2,1,13,"Agencia_2",58.425,"Cancelled"
"6179",12013357,2021-10-27,2021-11-03,2,1,13,"Agencia_2",38,"Cancelled"
"6180",12013494,2021-10-27,2021-11-11,4,1,13,"Agencia_2",91.5025,"Cancelled"
"6181",12013851,2021-10-27,2021-11-03,3,1,13,"Agencia_2",39.2833333333333,"Cancelled"
"6182",12014032,2021-10-27,2021-10-28,1,1,13,"Agencia_2",34.16,"Cancelled"
"6183",12014078,2021-10-27,2021-11-02,3,1,13,"Agencia_2",13.0933333333333,"Confirmed"
"6184",12014268,2021-10-27,2021-10-28,1,1,13,"Agencia_2",34.16,"Confirmed"
"6185",12014266,2021-10-27,2021-11-02,1,1,13,"Agencia_2",66.88,"Cancelled"
"6186",12015225,2021-10-27,2021-10-27,1,1,13,"Agencia_2",64.38,"Cancelled"
"6187",12015484,2021-10-27,2021-11-03,1,1,13,"Agencia_2",47.75,"Cancelled"
"6188",12015691,2021-10-27,2021-11-04,2,1,13,"Agencia_2",38,"Cancelled"
"6189",12016536,2021-10-27,2021-10-28,1,1,13,"Agencia_2",75.05,"Cancelled"
"6190",12016595,2021-10-27,2021-10-28,1,1,13,"Agencia_2",75.05,"Cancelled"
"6191",12017007,2021-10-27,2021-10-28,1,2,13,"Agencia_2",79.8,"Cancelled"
"6192",12017008,2021-10-27,2021-11-02,3,1,13,"Agencia_2",39.2833333333333,"Cancelled"
"6193",12018758,2021-10-27,2021-11-15,2,1,13,"Agencia_2",43.655,"Cancelled"
"6194",12020508,2021-10-28,2021-10-28,2,1,13,"Agencia_2",96.5,"Cancelled"
"6195",12020511,2021-10-28,2021-10-28,1,1,13,"Agencia_2",84,"Cancelled"
"6196",12021364,2021-10-28,2021-11-08,4,1,13,"Agencia_2",49.6625,"Cancelled"
"6197",12022253,2021-10-28,2021-11-26,1,1,13,"Agencia_2",33.52,"Cancelled"
"6198",12022609,2021-10-28,2021-11-04,1,1,13,"Agencia_2",34.16,"Cancelled"
"6199",12023243,2021-10-28,2021-11-04,1,1,13,"Agencia_2",66.88,"Cancelled"
"6200",12023346,2021-10-28,2021-11-03,1,1,13,"Agencia_2",34.16,"Confirmed"
"6201",12023532,2021-10-28,2021-11-03,2,1,13,"Agencia_2",38,"Cancelled"
"6202",12023557,2021-10-28,2021-11-04,1,1,13,"Agencia_2",40.82,"Cancelled"
"6203",12023867,2021-10-28,2021-10-28,2,1,13,"Agencia_2",38,"Cancelled"
"6204",12025490,2021-10-28,2021-11-03,1,1,13,"Agencia_2",34.16,"Cancelled"
"6205",12027833,2021-10-28,2021-11-02,2,1,13,"Agencia_2",66.88,"Cancelled"
"6206",12027818,2021-10-28,2021-11-03,1,1,13,"Agencia_2",34.16,"Cancelled"
"6207",12030705,2021-10-29,2021-11-03,1,1,13,"Agencia_2",40.82,"Cancelled"
"6208",12030882,2021-10-29,2021-11-17,3,1,13,"Agencia_2",48.16,"Cancelled"
"6209",12031336,2021-10-29,2021-11-04,1,1,13,"Agencia_2",66.18,"Confirmed"
"6210",12031895,2021-10-29,2021-11-09,1,1,13,"Agencia_2",55.25,"Cancelled"
"6211",12032266,2021-10-29,2021-11-04,1,1,13,"Agencia_2",68.29,"Cancelled"
"6212",12032478,2021-10-29,2021-11-03,2,1,13,"Agencia_2",38,"Cancelled"
"6213",12032583,2021-10-29,2021-11-03,2,1,13,"Agencia_2",38,"Cancelled"
"6214",12032922,2021-10-29,2021-11-04,1,1,13,"Agencia_2",34.16,"Cancelled"
"6215",12033198,2021-10-29,2021-11-04,1,1,13,"Agencia_2",64.63,"Cancelled"
"6216",12033473,2021-10-29,2021-11-03,1,1,13,"Agencia_2",61.54,"Cancelled"
"6217",12033474,2021-10-29,2021-11-03,1,1,13,"Agencia_2",61.54,"Cancelled"
"6218",12033671,2021-10-29,2021-11-02,2,1,13,"Agencia_2",38,"Cancelled"
"6219",12033691,2021-10-29,2021-11-04,2,1,13,"Agencia_2",72.22,"Cancelled"
"6220",12034002,2021-10-29,2021-11-03,2,1,13,"Agencia_2",49.23,"Cancelled"
"6221",12034000,2021-10-29,2021-11-03,2,1,13,"Agencia_2",49.23,"Cancelled"
"6222",12034001,2021-10-29,2021-11-03,2,1,13,"Agencia_2",49.23,"Cancelled"
